SITE,HABITAT,REP,TAXA,CLASS,ORDER,FAMILY,GENUS,CODE,COUNT
harris,riffle,1,Berosus,Insecta,Coleoptera,Hydrophilidae,Berosus,BEROSU,16
harris,riffle,1,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,42
harris,riffle,1,Choroterpes,Insecta,Ephemeroptera,Leptophlebiidae,Choroterpes,CHOROT,3
harris,riffle,1,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,5
harris,riffle,1,Gomphus,Insecta,Odonata,Gomphidae,Gomphus,GOMPHU,5
harris,riffle,2,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,23
harris,riffle,2,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,5
harris,riffle,2,Gomphus,Insecta,Odonata,Gomphidae,Gomphus,GOMPHU,2
harris,riffle,3,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,GASTRO,4
harris,riffle,3,Stenelmis,Insecta,Coleoptera,Elmidae,Stenelmis,STENEL,6
harris,riffle,3,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,19
harris,riffle,3,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,2
harris,riffle,3,Baetis,Insecta,Ephemeroptera,Baetidae,Baetis,BAETIS,2
harris,riffle,3,Hydroporus,Insecta,Hemiptera,Dytiscidae,Hydroporus,HYDROP,21
harris,riffle,3,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,1
harris,riffle,3,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,1
harris,riffle,4,Berosus,Insecta,Coleoptera,Hydrophilidae,Berosus,BEROSU,4
harris,riffle,4,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,16
harris,riffle,4,Tricorythodes,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,TRICOR,1
harris,riffle,4,Hydroporus,Insecta,Hemiptera,Dytiscidae,Hydroporus,HYDROP,8
harris,riffle,4,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,2
harris,riffle,4,Gomphus,Insecta,Odonata,Gomphidae,Gomphus,GOMPHU,1
harris,riffle,4,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,OLIGOC,12
neils,riffle,1,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,GASTRO,1
neils,riffle,1,Helichus,Insecta,Coleoptera,Dryopidae,Helichus,HELICH,1
neils,riffle,1,Cymbiodyta,Insecta,Coleoptera,Hydrophilidae,Cymbiodyta,CYMBIO,4
neils,riffle,1,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,6
neils,riffle,1,Tropisternus,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,TROPIS,6
neils,riffle,1,Baetis,Insecta,Ephemeroptera,Baetidae,Baetis,BAETIS,8
neils,riffle,1,Gerris,Insecta,Hemiptera,Gerridae,Gerris,GERRIS,5
neils,riffle,1,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,4
neils,riffle,1,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,11
neils,riffle,1,Macrothemis,Insecta,Odonata,Libellulidae,Macrothemis,MACROT,4
neils,riffle,2,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,15
neils,riffle,2,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,2
neils,riffle,2,Baetis,Insecta,Ephemeroptera,Baetidae,Baetis,BAETIS,1
neils,riffle,2,Fallceon,Insecta,Ephemeroptera,Baetidae,Fallceon,FALLCE,2
neils,riffle,2,Isonychia,Insecta,Ephemeroptera,Isonychiidae,Isonychia,ISONYC,2
neils,riffle,2,Tricorythodes,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,TRICOR,2
neils,riffle,2,Thraulodes,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,THRAUL,1
neils,riffle,2,Traverella,Insecta,Ephemeroptera,Leptophlebiidae,Traverella,TRAVER,1
neils,riffle,2,Gerris,Insecta,Hemiptera,Gerridae,Gerris,GERRIS,1
neils,riffle,2,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,3
neils,riffle,2,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,9
neils,riffle,2,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,2
neils,riffle,2,Gomphus,Insecta,Odonata,Gomphidae,Gomphus,GOMPHU,1
neils,riffle,2,Macrothemis,Insecta,Odonata,Libellulidae,Macrothemis,MACROT,1
neils,riffle,2,Chimarra,Insecta,Trichoptera,Philopotamidae,Chimarra,CHIMAR,1
neils,riffle,3,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,8
neils,riffle,3,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,2
neils,riffle,3,Isonychia,Insecta,Ephemeroptera,Isonychiidae,Isonychia,ISONYC,1
neils,riffle,3,Tricorythodes,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,TRICOR,2
neils,riffle,3,Leptohyphes,Insecta,Ephemeroptera,Leptophlebiidae,Leptohyphes,LEPTOH,2
neils,riffle,3,Traverella,Insecta,Ephemeroptera,Leptophlebiidae,Traverella,TRAVER,1
neils,riffle,3,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,2
neils,riffle,3,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,4
neils,riffle,3,Hydropsyche,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,HYDROP,6
neils,riffle,3,Chimarra,Insecta,Trichoptera,Philopotamidae,Chimarra,CHIMAR,2
neils,riffle,4,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,2
neils,riffle,4,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,3
neils,riffle,4,Isonychia,Insecta,Ephemeroptera,Isonychiidae,Isonychia,ISONYC,7
neils,riffle,4,Thraulodes,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,THRAUL,2
neils,riffle,4,Traverella,Insecta,Ephemeroptera,Leptophlebiidae,Traverella,TRAVER,8
neils,riffle,4,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,3
neils,riffle,4,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,7
neils,riffle,4,Hetaerina,Insecta,Odonata,Calopterygidae,Hetaerina,HETAER,1
neils,riffle,4,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,1
